                    MONTHLY CLIMATOLOGICAL SUMMARY for DEC. 2018                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  15.5  18.4   12:00 14.0   07:20     79   63   0.0   10.1   33.8   02:00   NNW
 02  16.0  18.4   12:50 13.8   05:00     78   64   0.0    4.5   22.5   14:20   WNW
 03  16.5  18.8   14:20 14.1   23:30     90   66   7.2    8.0   30.6   21:30   NNW
 04  16.0  18.2   12:10 13.6   01:10     89   71   3.0   11.5   38.6   06:50   NNW
 05  16.7  19.7   12:20 15.2   08:00     83   59   0.0    6.6   38.6   23:20   NNW
 06  14.4  16.5   09:50 11.4   22:00     76   59   0.0   23.1   62.8   20:10   NNW
 07  13.3  15.9   14:00 11.4   00:30     69   50   0.0   18.5   62.8   00:10   NNW
 08  13.9  17.8   14:40 10.9   05:20     73   38   0.0    5.8   27.4   00:00    NW
 09  15.4  18.1   12:30 11.9   00:10     86   61   5.6   10.2   51.5   13:30   SSE
 10  16.7  19.7   13:00 14.5   22:50     81   58   4.0   10.5   57.9   15:00   SSE
 11  13.2  15.7   09:50 11.5   19:20     90   58   8.4    4.8   33.8   01:10    NW
 12  12.3  14.5   12:30 10.8   04:20     86   44   5.0   11.2   48.3   12:00    NW
 13  12.8  16.8   23:20  8.9   04:30     88   50   4.0    9.9   61.2   19:40   SSE
 14  17.4  20.1   12:10 14.3   04:20     88   60   0.0    9.9   33.8   13:00   SSE
 15  18.0  18.9   12:00 17.3   05:20     85   64   0.0   23.0   46.7   18:30   SSE
 16  17.6  19.3   10:50 14.7   23:00     89   71   2.2   22.6   61.2   08:10    SE
 17  15.3  18.3   11:20 12.7   23:10     89   64   2.4    4.3   25.7   14:10    NW
 18  14.2  16.3   07:00 12.2   03:30     92   68  34.4    9.8   70.8   11:10   SSE
 19  13.1  15.3   13:00 12.0   23:50     88   69   1.8    9.5   37.0   17:40    NW
 20  12.9  14.7   15:20 11.6   23:20     76   60   0.0   13.3   56.3   04:20    NW
 21  13.5  17.1   14:50 11.2   06:00     81   57   0.0    4.9   20.9   13:10   NNW
 22  14.3  17.0   13:50 11.5   07:30     82   56   0.0    5.5   24.1   03:10    NW
 23  15.4  18.4   14:50 12.9   01:50     84   63   0.0    4.4   25.7   23:30    NW
 24  15.6  18.7   14:10 12.8   06:00     83   54   0.0    6.6   38.6   23:50   NNW
 25  16.3  19.3   14:10 12.2   23:50     85   68   0.6    9.9   38.6   10:50   SSE
 26   9.8  12.2   00:00  8.2   23:50     71   52   0.2   23.3   61.2   14:00   NNW
 27   9.1  11.7   14:10  6.9   06:40     59   38   0.0   26.3   64.4   12:50   NNW
 28  10.7  14.5   14:50  8.3   04:10     65   41   0.0    9.0   40.2   00:00   NNW
 29  12.4  15.6   14:40  9.6   05:10     69   50   0.0    6.7   38.6   23:50    NW
 30  13.0  15.3   13:00 11.2   07:20     67   42   0.0   13.1   38.6   09:50    NW
 31  13.4  15.6   12:30 10.6   07:20     85   50   4.8   11.1   74.0   21:30   SSE
------------------------------------------------------------------------------------
     14.3  20.1    14    6.9    27     80.8 57.0  83.6   11.2   74.0      31   NNW
