                    MONTHLY CLIMATOLOGICAL SUMMARY for FEB. 2019                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  14.9  17.6   14:00 12.1   23:30     75   54   0.4    4.5   29.0   00:20   NNW
 02  14.2  16.9   12:10 11.2   04:50     82   60   0.0    4.7   27.4   13:00   SSE
 03  14.3  16.4   11:30 11.7   05:10     83   64   0.0    7.3   27.4   11:10   SSE
 04  16.5  18.2   13:10 14.6   00:00     79   68   0.0   14.7   51.5   18:00   SSE
 05  17.5  18.7   12:20 16.2   23:50     81   58   1.6   21.4   93.3   23:20     W
 06  15.0  16.7   12:40 12.5   08:00     87   52  11.0   17.0   90.1   00:10   SSE
 07  13.8  16.9   12:10 10.5   22:20     84   53  29.8    7.0   37.0   00:00     N
 08  12.9  15.9   13:30 10.4   00:50     88   56  16.0    6.9   33.8   20:00   NNW
 09  12.7  15.6   12:50 10.5   04:10     80   55   0.2   10.7   40.2   15:10    NW
 10  13.1  16.2   15:00 11.4   05:50     69   52   0.0   13.6   37.0   07:40   NNW
 11  13.8  16.8   13:30 10.1   06:20     77   60   0.0    6.8   29.0   15:00   SSE
 12  15.9  17.7   10:50 14.9   00:00     75   54   0.0   20.3   46.7   09:40   SSE
 13  15.0  16.4   12:20 11.7   23:40     84   60  11.0   19.5   46.7   06:10   SSE
 14  13.0  16.2   14:20  9.8   06:50     90   59  18.8    8.2   29.0   07:10   NNW
 15  12.7  14.8   13:50 10.6   23:50     85   60   3.4   10.9   27.4   05:10   NNW
 16  12.2  14.5   15:30 10.7   00:00     88   66   4.0    3.8   17.7   22:40    NW
 17  13.2  16.4   13:50 11.0   02:20     85   57   0.4    4.0   19.3   21:50    NW
 18  14.5  17.9   14:40 12.0   05:30     69   53   0.0    6.7   22.5   02:50    NW
 19  14.9  18.7   14:10 11.6   05:40     74   59   0.0    4.2   24.1   14:00     W
 20  14.7  17.7   11:10 12.4   06:00     82   61   0.0    3.8   20.9   12:00    NW
 21  15.1  17.7   10:30 12.9   23:50     77   51   0.6    6.3   24.1   14:20    NW
 22  14.8  17.7   12:50 12.3   05:10     80   44   0.6    5.0   30.6   14:10    NW
 23  14.5  16.9   11:30 11.8   06:50     76   52   7.4   13.4   43.5   13:30   SSE
 24  14.0  15.2   01:20 11.2   03:50     85   65   8.0   13.4   43.5   06:10    SE
 25  16.4  17.8   19:00 14.9   04:20     78   56   0.0   21.2   62.8   11:30   SSE
 26  14.6  18.5   13:00  9.9   04:10     87   57  37.0   15.5   61.2   03:40   NNW
 27  12.4  14.3   09:50  9.4   23:30     71   45   0.0   22.6   59.5   14:40    NW
 28  10.3  12.8   14:30  8.1   07:00     62   41   0.0   21.2   54.7   14:00   NNW
------------------------------------------------------------------------------------
     14.2  18.7     5    8.1    28     79.8 56.1 150.2   11.2   93.3       5   SSE
