                    MONTHLY CLIMATOLOGICAL SUMMARY for JAN. 2020                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  13.0  15.8   13:10 11.2   02:40     77   52   0.0    7.8   25.7   14:50    NW
 02  10.6  12.7   00:30  8.7   14:20     89   58  59.0   11.9   30.6   14:40   NNW
 03  11.5  14.2   13:50  8.9   00:20     90   64  20.6    5.1   24.1   00:00    NW
 04  13.3  16.4   14:40 10.6   02:30     74   50   0.0    8.4   41.8   21:30    NW
 05  14.0  16.5   13:00 10.6   02:30     80   47   3.4    8.7   57.9   22:10   SSE
 06  13.2  15.2   11:00 11.1   14:40     86   56  15.6   13.7   70.8   14:40   SSE
 07  12.5  15.3   12:30 10.7   20:20     84   61   4.8    5.6   33.8   15:50   SSE
 08  12.3  14.8   13:10 10.1   06:50     81   51   0.2   14.0   40.2   14:30   NNW
 09  11.6  14.4   14:10  9.4   07:50     71   53   0.0   14.8   43.5   07:20   NNW
 10  13.3  17.6   14:30 10.2   07:10     72   34   0.0    7.8   33.8   03:50   NNW
 11  14.0  17.1   13:50 11.5   07:40     78   59   0.0    2.2   19.3   12:20   SSW
 12  14.8  17.5   13:10 13.1   05:40     80   61   0.0    2.5   19.3   22:40    SE
 13  14.7  18.1   14:30 12.2   21:30     72   47   0.0    6.2   25.7   05:50   NNW
 14  14.0  16.4   12:00 11.7   06:40     76   59   0.0    4.2   22.5   17:10    NW
 15  14.6  16.8   15:40 12.7   00:30     77   66   0.0    5.5   24.1   14:40   NNW
 16  15.8  18.1   12:40 14.2   06:00     77   49   0.4    6.2   29.0   21:00   NNW
 17  14.1  15.2   10:50 12.7   22:50     88   73   0.2    7.5   32.2   19:20   SSE
 18  13.5  16.3   13:30 11.2   23:40     87   62   0.0    3.8   20.9   18:20   NNW
 19  12.1  15.0   13:10  9.6   21:40     68   39   0.0   10.7   32.2   13:40    NW
 20  11.3  13.8   13:20  8.7   07:30     61   34   0.0   18.8   49.9   13:50   NNW
 21  10.8  13.3   13:30  8.8   05:30     61   38   0.0   20.7   53.1   16:00   NNW
 22  13.0  17.3   14:50 10.1   04:50     63   28   0.0    7.8   35.4   03:10   NNW
 23  13.7  16.9   12:40 10.7   07:40     64   39   0.0   12.2   49.9   23:20   NNW
 24  11.0  13.4   14:00  8.2   06:20     49   32   0.0   16.3   51.5   08:20   NNW
 25  12.9  15.8   12:50  9.9   03:30     72   39   0.0    2.8   16.1   14:30    NW
 26  14.3  17.2   12:40 11.2   02:50     81   65   0.0    3.5   25.7   13:50    SE
 27  15.6  16.7   12:50 14.1   00:00     79   68   0.0   17.2   45.1   21:30   SSE
 28  14.8  17.7   14:10 12.7   03:40     89   57  13.8    7.1   32.2   00:00    NW
 29  15.4  18.2   13:20 12.4   06:30     86   51   0.2    4.4   25.7   12:50    NW
 30  15.8  18.1   13:40 12.4   23:50     78   53   5.8   10.2   41.8   19:50    NW
 31  12.5  15.3   12:50  9.7   07:20     71   33   0.0    9.5   40.2   01:30   NNW
------------------------------------------------------------------------------------
     13.4  18.2    29    8.2    24     76.2 50.9 124.0    8.9   70.8       6   NNW
