                    MONTHLY CLIMATOLOGICAL SUMMARY for MAR. 2021                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  14.1  17.7   14:10 10.7   06:30     62   36   0.0   15.1   49.9   02:10   NNW
 02  13.6  16.3   13:30 11.2   23:40     59   36   0.0   19.9   53.1   10:00   NNW
 03  13.8  17.4   16:10 10.0   06:20     62   42   0.0   14.2   37.0   23:40   NNW
 04  15.9  19.9   14:30 12.8   06:40     62   36   0.0    6.7   33.8   00:40   NNW
 05  15.1  19.6   14:30 11.5   06:10     78   47   0.0    5.3   27.4   14:40   SSE
 06  15.7  18.4   13:30 13.4   03:30     83   67   0.0    8.5   32.2   15:10   SSE
 07  15.8  20.4   13:10 12.9   04:50     86   45   0.0    8.4   38.6   16:10   NNW
 08  14.7  18.1   14:40 11.7   06:30     67   33   0.0   11.7   43.5   03:40   NNW
 09  15.5  17.9   15:30 13.4   06:30     79   43   0.0    5.3   33.8   22:30   NNW
 10  17.2  19.4   11:40 15.1   23:50     85   63   0.0   11.8   49.9   05:10   SSE
 11  15.0  19.2   11:50 10.9   23:50     82   62   5.2   12.1   62.8   19:20   NNW
 12  13.0  17.7   13:20  9.6   05:00     69   31   0.0   19.8   54.7   00:30   NNW
 13  14.4  18.1   16:00 11.1   03:10     71   42   0.0    5.2   27.4   14:20   SSE
 14  14.8  16.4   15:10 12.7   01:30     86   58   1.2    3.3   17.7   17:10   SSE
 15  15.4  18.2   14:00 13.0   22:40     91   59   9.8   10.1   46.7   21:40   SSE
 16  14.8  17.6   12:40 11.3   23:20     87   42   3.4   10.0   41.8   07:20    SW
 17  14.1  17.1   13:20 11.3   00:10     86   37   6.2    7.3   43.5   12:50   NNW
 18  13.6  17.1   11:40 10.0   06:40     80   38   0.4    8.2   35.4   13:20   NNW
 19  14.8  17.8   12:10 10.6   04:20     83   55   0.2   10.1   41.8   12:20   SSE
 20  15.1  17.0   14:00 13.3   04:40     90   74   8.2   10.5   32.2   00:30   SSE
 21  16.6  18.8   12:10 14.2   05:00     84   71   0.0   11.4   38.6   22:40   SSE
 22  18.1  19.9   12:10 17.1   02:10     90   64   0.0    9.7   48.3   05:20   SSE
 23  16.4  19.6   12:30 12.8   23:50     91   50   0.6    8.9   46.7   11:10   NNW
 24  11.3  13.3   13:20  9.0   23:20     72   39   0.0   19.2   57.9   15:00   NNW
 25   9.6  12.5   13:50  8.0   23:50     66   28   0.0   14.8   45.1   09:30   NNW
 26  10.8  14.5   12:50  7.1   03:50     61   27   0.0   18.3   54.7   15:10   NNW
 27  13.1  17.1   15:00  9.3   06:10     54   34   0.0   12.6   37.0   02:00   NNW
 28  14.8  18.2   18:00 11.2   06:20     61   42   0.0    5.3   25.7   18:20   NNW
 29  16.8  20.6   18:00 12.9   06:50     65   41   0.0    8.6   32.2   23:20   NNW
 30  16.7  20.4   14:50 13.1   23:40     62   29   0.0   17.0   48.3   21:30   NNW
 31  13.0  15.8   16:10 10.5   07:20     69   46   0.0   11.3   35.4   02:50   NNW
------------------------------------------------------------------------------------
     14.6  20.6    29    7.1    26     74.9 45.7  35.2   11.0   62.8      11   NNW
