                    MONTHLY CLIMATOLOGICAL SUMMARY for APR. 2021                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  12.4  16.3   11:40 10.7   06:10     74   54   0.4    5.7   37.0   16:10   NNW
 02  14.9  19.2   15:20 10.7   00:00     75   50   0.0    9.7   32.2   13:30   NNW
 03  15.7  18.6   12:30 12.6   04:40     84   59   0.0    7.1   32.2   16:00   SSE
 04  16.6  18.2   12:00 15.1   01:30     88   74   0.0   16.8   45.1   22:10   SSE
 05  17.6  19.5   14:40 16.7   00:40     89   74   0.0   18.2   51.5   07:20   SSE
 06  17.6  19.4   14:30 16.7   06:30     90   80   0.0   17.3   51.5   13:00   SSE
 07  17.9  22.1   14:40 14.4   05:40     89   46   0.0    5.6   27.4   08:20   NNW
 08  17.3  21.3   16:20 13.7   23:50     79   54   0.0    6.7   33.8   22:20   SSW
 09  13.0  15.6   15:20 10.6   07:20     73   41   0.0   26.0   74.0   16:10   NNW
 10  12.4  16.2   16:30  9.3   06:40     52   24   0.0   26.7   62.8   10:40   NNW
 11  13.8  17.4   13:50 10.5   05:40     48   30   0.0   21.3   49.9   08:20   NNW
 12  15.8  20.1   13:10 12.5   06:40     67   36   0.0   10.9   37.0   09:40   NNW
 13  16.3  19.1   14:40 13.6   06:10     73   61   0.0    6.7   29.0   14:30   SSE
 14  16.4  18.6   12:50 14.3   04:40     86   67   0.0    9.4   29.0   12:00   SSE
 15  17.0  19.2   15:10 15.7   03:00     84   68   0.0   12.6   27.4   18:20   SSE
 16  17.6  19.5   15:20 15.9   04:20     89   72   0.0    5.7   22.5   12:50   SSE
 17  19.1  21.5   12:00 16.8   00:50     90   46   0.0    5.7   27.4   15:20   SSE
 18  21.7  24.3   17:20 18.2   03:40     62   36   0.0    2.6   14.5   04:10     N
 19  21.7  25.4   15:10 18.8   23:50     61   29   0.0   11.7   49.9   16:10   NNW
 20  18.4  22.1   14:20 14.9   05:00     70   31   0.0   11.5   51.5   00:30   NNW
 21  18.4  23.1   14:50 14.3   06:40     71   25   0.0   13.0   40.2   12:40   NNW
 22  19.2  23.9   12:40 15.6   06:20     67   23   0.0   12.2   40.2   08:00   NNW
 23  20.1  23.1   13:20 16.9   05:50     67   25   0.0    5.9   24.1   11:20   SSE
 24  21.6  27.0   11:50 17.2   05:50     67   31   0.0    3.5   22.5   19:10   SSE
 25  22.1  25.9   12:40 18.9   23:50     69   44   0.0    7.4   32.2   22:40   NNW
 26  21.0  25.8   15:30 17.8   04:40     68   32   0.0   17.6   51.5   23:20   NNW
 27  20.5  25.4   14:20 16.6   06:30     79   25   0.0    9.6   41.8   00:00   NNW
 28  18.9  21.3   13:20 16.8   04:10     88   62   0.0    8.1   30.6   11:30   SSE
 29  20.0  23.3   11:20 17.5   06:20     85   21   0.0    5.6   24.1   14:30   SSE
 30  22.8  28.8   17:30 17.1   06:00     81   33   0.0    3.3   24.1   15:00   SSE
------------------------------------------------------------------------------------
     17.9  28.8    30    9.3    10     75.5 45.1   0.4   10.8   74.0       9   SSE
