                    MONTHLY CLIMATOLOGICAL SUMMARY for JUL. 2021                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   35.8  41.7   15:20  29.1   00:30     55   12   0.0   10.4   40.2   16:30   NNW
02   31.9  37.6   16:50  27.3   23:50     66   16   0.0    6.5   38.6   17:00   NNW
03   29.8  34.1   14:10  26.0   06:10     61   30   0.0   17.8   54.7   16:40   NNW
04   28.6  32.8   14:10  25.2   06:00     60   29   0.0   24.0   59.5   20:10   NNW
05   29.7  35.1   15:50  24.8   05:50     59   23   0.0   20.3   48.3   06:40   NNW
06   31.4  36.3   15:20  27.5   06:10     44   24   0.0   17.7   51.5   18:10   NNW
07   30.6  33.5   16:50  27.8   06:00     48   32   0.0   11.3   37.0   00:30   NNW
08   30.8  35.3   18:50  26.1   05:50     77   35   0.0    5.5   25.7   14:50   SSE
09   32.2  36.8   16:40  28.0   04:10     64   32   0.0    7.0   30.6   18:10   NNW
10   32.3  34.4   18:20  29.4   20:50     69   37   0.0    7.6   27.4   04:50   SSE
11   31.5  35.6   18:10  28.3   21:20     77   31   0.0    4.8   25.7   13:40   SSE
12   30.0  36.1   16:10  26.5   07:00     73   37   0.0    5.4   27.4   14:30   SSE
13   30.8  36.2   16:10  27.0   07:30     70   39   0.0    4.3   19.3   12:20   SSE
14   33.3  38.0   18:30  29.2   03:20     56   24   0.0    6.6   33.8   23:50   SSE
15   34.4  37.8   13:40  30.6   23:30     53   18   0.0    9.6   37.0   03:50   NNW
16   31.6  37.7   17:10  27.4   06:20     71   32   0.0    5.3   27.4   13:50   SSE
17   29.8  32.6   14:30  27.7   06:30     81   41   0.0    4.9   19.3   13:10   SSE
18   27.9  30.3   15:20  25.7   23:50     82   52   0.0    6.9   30.6   16:50   SSE
19   27.5  32.1   18:00  24.6   06:40     82   43   0.0    7.5   29.0   14:50   SSE
20   29.1  33.6   17:30  25.0   05:20     68   37   0.0    6.6   30.6   19:10   NNW
21   31.0  36.4   14:30  26.7   03:50     67   32   0.0   12.3   38.6   17:50   NNW
22   32.7  36.5   13:10  29.4   06:20     62   36   0.0   14.1   38.6   06:20   NNW
23   31.7  33.8   18:10  29.0   05:40     51   35   0.0   10.5   41.8   03:50   NNW
24   31.1  35.8   16:20  28.5   23:00     53   33   0.0    8.8   29.0   16:30   NNW
25   29.8  32.3   16:10  27.5   05:40     63   41   0.0    7.5   27.4   00:30   NNW
26   31.2  35.0   18:10  27.8   06:00     54   31   0.0    9.6   25.7   11:50   NNW
27   33.6  37.8   18:10  29.8   01:10     49   22   0.0   12.5   32.2   04:30   NNW
28   33.8  37.9   18:40  29.6   23:50     68   22   0.0    9.1   27.4   07:50   NNW
29   35.0  40.4   16:50  28.8   01:50     67   20   0.0   13.1   40.2   20:00   NNW
30   35.5  39.5   18:20  32.1   06:40     31   16   0.0   13.7   43.5   20:20   NNW
31   36.8  40.5   15:00  34.0   07:00     32   17   0.0   13.0   33.8   00:10   NNW
-----------------------------------------------------------------------------------
     31.7  41.7       1  24.6      19   61.7 30.0   0.0   10.1   59.5       4   NNW
