                    MONTHLY CLIMATOLOGICAL SUMMARY for NOV. 2021                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   18.6  21.5   02:30  16.1   04:10     93   66  51.4   12.1   53.1   02:40   NNW
02   20.0  22.4   12:40  16.3   07:00     87   54   0.0    6.7   30.6   13:40   SSE
03   21.4  23.4   09:50  19.6   05:40     92   82   0.2    2.7   17.7   00:00   SSE
04   21.1  23.3   11:40  19.3   05:30     94   81   0.2    2.2   14.5   13:30   SSE
05   21.1  23.6   13:10  18.6   05:50     90   69   0.0    2.5   14.5   11:10   SSE
06   21.5  24.7   13:10  18.7   06:40     85   55   0.0    1.6   12.9   13:40     N
07   21.7  24.9   11:10  18.6   05:40     80   43   0.0    1.5   12.9   13:50     N
08   20.2  22.9   11:10  17.6   06:20     90   60   0.0    2.8   14.5   11:50   SSE
09   20.8  23.4   14:20  17.8   01:50     89   39   0.2    2.2   29.0   22:20     N
10   21.4  24.7   12:50  18.9   23:40     61   33   0.0   16.5   41.8   08:50   NNW
11   19.4  21.8   10:20  17.2   06:20     66   38   0.0    5.1   24.1   01:40   SSE
12   19.1  21.7   12:30  16.7   06:40     75   55   0.0    3.3   17.7   08:50   SSE
13   19.0  21.6   11:30  16.7   07:00     74   58   0.0    2.7   16.1   12:50   SSE
14   19.3  22.6   14:30  17.1   04:40     73   54   0.0    1.6   12.9   09:50     N
15   19.9  22.5   11:20  17.6   03:50     71   52   0.0    2.9   17.7   14:10   NNW
16   19.8  22.8   15:50  17.3   06:50     74   52   0.0    3.9   24.1   14:00   NNW
17   19.4  22.0   11:30  17.1   06:40     75   62   0.0    3.8   22.5   20:00   NNW
18   18.2  20.9   13:00  16.1   22:30     78   58   0.0    9.9   30.6   17:30   NNW
19   17.0  20.1   12:30  15.3   23:00     72   48   0.0   18.6   49.9   19:00   NNW
20   16.9  19.8   13:50  14.6   06:10     69   47   0.0   14.7   51.5   03:30   NNW
21   17.6  20.3   13:30  15.7   05:30     71   50   0.0    5.6   22.5   15:10   NNW
22   17.4  20.1   13:40  14.7   06:40     76   52   0.0    2.5   14.5   13:20   SSE
23   18.4  21.1   11:30  16.1   04:50     90   67  14.0    8.9   40.2   15:10   SSE
24   18.4  20.8   10:30  16.3   21:20     90   72  15.8    6.0   33.8   09:10   SSE
25   17.0  20.3   12:00  15.0   22:10     87   68   0.0    4.1   25.7   18:00   NNW
26   17.8  20.4   22:10  13.9   05:50     85   69   0.0   14.9   51.5   18:30   SSE
27   20.6  21.2   10:30  19.9   23:20     89   80   0.0   22.4   54.7   05:40   SSE
28   20.9  23.3   13:00  19.6   08:00     89   70   0.0    9.5   32.2   03:20   SSE
29   21.1  22.0   11:40  19.3   23:40     88   77   0.0   19.8   57.9   10:10   SSE
30   18.2  21.2   10:10  14.6   21:50     83   53   0.4    6.9   46.7   14:30   NNW
-----------------------------------------------------------------------------------
     19.4  24.9       7  13.9      26   81.2 58.8  82.2    7.3   57.9      29   SSE
