                    MONTHLY CLIMATOLOGICAL SUMMARY for OCT. 2022                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   31.3  37.9   15:10  24.4   03:10     85   17   0.0    9.7   35.4   19:30   NNW
02   30.4  35.1   09:00  24.2   22:00     67   23   0.0   13.3   62.8   21:20    NW
03   26.4  30.7   14:00  23.2   07:00     66   27   0.0   20.8   74.0   07:50   NNW
04   25.9  30.6   14:00  22.2   23:40     53   24   0.0   18.1   48.3   17:10   NNW
05   23.7  27.9   14:00  21.3   06:50     52   30   0.0   19.2   43.5   09:00    NW
06   23.8  26.3   12:10  20.8   06:20     68   39   0.0    9.8   32.2   01:40   NNW
07   23.3  25.5   17:10  21.2   07:00     66   49   0.0    7.5   25.7   00:10   NNW
08   22.9  26.1   13:10  20.4   06:20     70   38   0.0   12.9   41.8   18:30   NNW
09   23.1  27.1   13:50  20.2   06:50     70   41   0.0   10.3   37.0   00:30   NNW
10   23.5  25.9   15:50  21.3   03:40     71   44   0.0    3.9   20.9   13:30   NNW
11   22.9  26.6   17:00  20.7   07:20     69   47   0.0    4.2   22.5   00:00   SSE
12   22.4  26.3   15:00  19.4   07:20     69   47   0.0   10.7   40.2   16:20   NNW
13   23.5  27.3   12:50  20.7   23:40     67   43   0.0   13.1   41.8   05:20   NNW
14   22.4  25.6   15:50  20.2   04:50     68   49   0.0    6.4   29.0   02:30   NNW
15   20.1  22.9   16:00  16.4   18:40     91   49  33.6    6.9   66.0   16:40    NW
16   20.7  25.2   12:40  18.3   01:10     89   57   0.8    7.8   35.4   13:40   NNW
17   22.6  26.6   14:50  18.7   00:20     87   44   0.0   13.4   33.8   05:20   NNW
18   24.0  26.8   13:40  22.0   05:40     67   49   0.0    9.7   27.4   03:20   NNW
19   22.7  26.1   15:20  20.5   23:40     75   55   0.0    3.4   24.1   14:50   SSE
20   21.6  24.9   14:40  19.0   03:10     77   59   0.0    4.9   25.7   16:30   NNW
21   22.7  25.6   16:40  20.4   08:00     69   43   0.0   11.0   33.8   21:40   NNW
22   21.7  24.2   16:50  19.4   23:40     62   40   0.0    8.3   25.7   00:20   NNW
23   20.9  24.8   16:30  18.3   06:00     67   33   0.0    3.4   22.5   14:20   SSE
24   21.0  23.7   14:00  18.3   07:10     75   42   0.0    4.1   22.5   12:50   SSE
25   21.6  24.2   11:10  18.9   06:50     71   47   0.0    4.0   20.9   15:20   SSE
26   21.9  24.7   16:40  18.7   06:40     74   43   0.0    3.5   19.3   14:10    SE
27   22.8  27.1   15:10  19.7   04:00     73   34   0.0    3.7   22.5   20:50   SSE
28   21.9  24.2   14:10  19.5   03:40     78   45   0.0    1.7   16.1   13:00     N
29   22.2  24.5   10:50  19.9   06:30     73   49   0.0    4.3   20.9   15:40   NNW
30   21.0  23.6   14:10  18.6   06:50     73   54   0.0    4.1   20.9   13:00   SSE
31   22.1  25.9   14:40  18.5   01:20     65   26   0.0    6.9   33.8   22:30   NNW
-----------------------------------------------------------------------------------
     23.1  37.9       1  16.4      15   71.2 41.5  34.4    8.4   74.0       3   NNW
