                    MONTHLY CLIMATOLOGICAL SUMMARY for FEB. 2023                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   10.1  12.0   14:40   8.6   07:40     61   38   0.0   24.0   67.6   14:50   NNW
02   11.1  14.3   12:50   8.0   03:30     64   40   0.0    8.6   37.0   13:00    NW
03   12.1  15.9   15:00   9.6   23:50     80   53   0.8    5.2   38.6   17:40   NNW
04   10.4  13.3   17:40   8.4   04:50     89   42   7.4   11.7   43.5   07:40   NNW
05    9.8  13.2   13:50   7.8   22:10     87   64   8.0    7.4   43.5   00:00   NNW
06    8.6  10.6   13:00   6.9   07:20     77   52   0.0   25.7   56.3   10:30   NNW
07    8.8  11.8   13:50   6.8   23:00     62   36   0.0   18.5   49.9   00:10   NNW
08    7.4  10.1   13:50   4.6   07:30     58   35   0.0   13.3   35.4   13:20   NNW
09    8.8  11.9   12:30   5.3   05:00     70   43   0.0    9.4   29.0   06:40   NNW
10   10.1  13.2   15:20   7.6   06:50     56   42   0.0    6.8   24.1   01:50    NW
11   10.7  13.6   11:50   8.6   03:30     59   46   0.0    4.8   24.1   19:20   NNW
12   10.7  13.4   11:20   8.1   06:00     70   51   0.0    6.8   20.9   05:00   NNW
13   12.0  15.3   15:20   9.3   02:20     67   39   0.0    4.8   22.5   13:10    NW
14   12.3  15.2   14:40   9.8   06:10     65   40   0.0    6.1   24.1   21:40   NNW
15   12.0  15.2   14:30   9.5   03:20     55   30   0.0   11.4   38.6   08:40   NNW
16   11.8  14.9   14:00   8.8   07:20     62   44   0.0    7.2   27.4   00:10   NNW
17   13.1  15.8   14:40   9.9   07:00     67   49   0.0    4.4   22.5   17:40   SSE
18   13.6  16.7   14:30  10.3   06:20     72   55   0.0    4.8   35.4   15:50   SSE
19   14.2  16.9   12:20  11.1   04:40     78   59   0.0    5.5   27.4   13:00   SSE
20   14.7  17.7   13:40  11.9   01:40     81   66   0.0    3.9   25.7   23:10   NNW
21   16.0  20.3   15:20  13.0   07:10     77   42   0.0    7.9   32.2   01:20   NNW
22   14.8  17.3   13:40  12.1   06:50     84   61   0.0    2.6   17.7   13:50   SSE
23   14.9  17.6   13:00  12.2   06:00     84   63   0.0    3.6   19.3   16:10   SSE
24   15.4  17.9   12:50  13.0   05:40     77   61   0.0    4.0   20.9   14:50   SSE
25   15.1  17.7   15:00  12.6   04:00     83   68   0.0    6.3   27.4   14:40   SSE
26   16.1  17.9   12:20  14.9   01:40     83   68   0.0   20.1   43.5   22:20   SSE
27   16.9  18.2   13:20  15.7   05:40     85   71   0.0   16.2   51.5   02:10   SSE
28   18.6  20.6   10:40  16.5   02:00     74   53   0.0    4.4   22.5   09:00     S
-----------------------------------------------------------------------------------
     12.5  20.6      28   4.6       8   72.4 50.4  16.2    9.1   67.6       1   NNW
