                    MONTHLY CLIMATOLOGICAL SUMMARY for AUG. 2023                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   29.9  31.7   19:10  27.6   04:20     72   40   0.0    5.3   24.1   14:10   SSE
02   30.1  34.8   17:50  27.2   06:30     64   33   0.0    5.6   24.1   15:30   SSE
03   32.5  36.9   13:00  29.2   06:00     56   27   0.0    8.8   33.8   06:50   NNW
04   32.1  35.4   12:00  29.3   07:50     69   30   0.0    7.1   33.8   01:10   NNW
05   31.6  35.2   15:40  27.7   22:30     69   23   0.0    5.6   24.1   04:30   NNW
06   29.7  32.8   15:50  26.8   06:20     69   39   0.0    5.5   29.0   20:50   SSE
07   28.8  33.7   17:20  25.3   05:10     73   40   0.0    7.5   32.2   02:20   SSE
08   31.3  35.2   14:20  27.9   05:50     57   37   0.0   10.2   33.8   00:20   NNW
09   30.6  32.8   10:50  28.1   23:50     65   39   0.0    6.4   22.5   01:50   NNW
10   29.0  32.8   14:10  26.6   07:00     65   46   0.0    7.5   29.0   22:50   NNW
11   29.6  34.0   17:00  26.3   04:40     62   36   0.0   13.6   37.0   01:40   NNW
12   29.1  32.9   16:10  27.1   03:30     65   42   0.0    5.6   24.1   15:20   NNW
13   29.1  33.3   17:10  25.7   06:30     64   45   0.0    5.3   22.5   19:20   NNW
14   29.9  35.6   15:00  26.6   07:00     63   41   0.0    6.5   27.4   14:00   NNW
15   30.0  34.9   15:00  26.0   05:40     68   47   0.0    5.9   27.4   12:40   NNW
16   30.7  35.4   12:30  27.1   05:10     73   46   0.0    5.9   29.0   12:00   NNW
17   29.9  32.0   17:50  27.3   07:10     76   59   0.0    5.4   22.5   13:00   SSE
18   29.6  32.3   14:40  27.2   07:10     75   56   0.0    5.3   25.7   14:10   SSE
19   29.1  33.1   17:10  26.4   07:10     77   55   0.0    5.1   24.1   13:20   SSE
20   29.6  33.7   16:20  27.0   06:20     72   52   0.0    5.6   24.1   15:40   SSE
21   29.7  34.4   15:40  27.1   05:40     83   49   0.0    5.5   25.7   15:00   SSE
22   29.0  31.8   16:10  26.5   06:40     85   59   0.0    5.8   29.0   14:50   SSE
23   29.9  35.3   17:00  27.2   04:50     77   45   0.0    4.9   24.1   13:40    SE
24   29.7  32.7   17:00  27.4   06:50     81   55   0.0    4.5   17.7   13:50   SSE
25   30.7  36.3   14:50  27.7   03:50     70   40   0.0    5.5   29.0   13:40   SSE
26   29.6  34.7   14:30  26.7   07:10     73   40   0.0    5.3   33.8   14:30   NNW
27   28.9  33.2   15:30  26.0   06:10     73   48   0.0    6.7   30.6   15:50   NNW
28   30.1  34.9   16:50  26.9   06:10     68   35   0.0   10.8   38.6   21:40   NNW
29   31.4  36.4   15:00  28.3   02:40     52   23   0.0   10.3   38.6   04:30   NNW
30   29.8  34.3   13:50  27.2   22:50     68   32   0.0    5.8   37.0   15:50     S
31   28.2  32.3   14:30  24.7   06:40     71   46   0.0    6.7   37.0   12:40   NNW
-----------------------------------------------------------------------------------
     30.0  36.9       3  24.7      31   69.5 42.1   0.0    6.6   38.6      28   NNW
