                    MONTHLY CLIMATOLOGICAL SUMMARY for MAY. 2024                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   23.6  28.1   14:00  19.9   01:20     71   46   0.0    6.9   37.0   21:00   NNW
02   24.1  29.1   15:20  20.7   05:10     65   29   0.0   13.2   38.6   06:10   NNW
03   23.6  27.8   13:30  19.4   23:50     71   35   0.0   14.0   43.5   11:00   NNW
04   20.2  23.0   15:20  18.2   23:40     71   42   0.0    8.0   37.0   13:40   WSW
05   20.0  24.6   15:10  14.8   01:50     79   39   4.8   14.6   45.1   21:10   NNW
06   21.9  26.9   16:30  18.0   06:00     64   19   0.0   15.3   41.8   00:20   NNW
07   23.0  26.8   17:50  20.4   06:10     67   28   0.0   13.1   38.6   05:20   NNW
08   20.8  22.7   14:20  18.8   05:30     79   30   0.0    7.1   24.1   12:10   SSE
09   20.2  21.9   16:00  19.0   23:10     83   68   0.0    5.9   19.3   12:50   NNW
10   21.0  24.4   12:00  18.8   01:10     83   56   0.0   13.0   48.3   13:00   SSE
11   20.6  24.6   12:50  17.5   06:40     80   48   0.0    8.0   40.2   12:50    NW
12   21.2  25.2   15:00  17.6   06:00     72   44   0.0   11.4   41.8   23:40   NNW
13   22.5  26.9   15:10  19.2   06:20     62   31   0.0   21.7   49.9   17:00    NW
14   21.6  26.6   15:40  17.9   06:20     67   24   0.0   16.9   46.7   16:50   NNW
15   23.1  27.6   13:10  18.6   05:50     57   27   0.0   10.6   37.0   08:00   NNW
16   22.9  25.7   19:50  19.4   05:20     66   41   0.0    5.8   29.0   16:30    SE
17   22.2  23.6   00:20  19.7   05:50     87   42   0.0    5.3   35.4   18:00   SSE
18   24.5  30.4   16:00  20.4   05:30     87   39   0.0    5.3   25.7   16:20   NNW
19   24.9  27.1   08:50  23.3   23:20     77   43   0.0    7.4   27.4   05:40   SSE
20   26.5  33.3   15:50  21.6   01:40     85   31   0.0   10.0   41.8   17:50    NW
21   30.5  36.1   17:00  25.1   06:40     54   25   0.0    7.8   30.6   00:10   NNW
22   27.4  30.6   13:10  24.4   23:00     69   30   0.0    4.8   25.7   19:10   NNW
23   25.3  29.0   15:10  21.5   07:00     65   35   0.0    9.7   54.7   14:30   NNW
24   24.3  28.0   14:20  21.4   03:50     64   39   0.0   20.7   59.5   15:20    NW
25   25.5  29.5   15:40  22.3   03:30     61   28   0.0   21.3   59.5   09:40   NNW
26   23.5  26.0   02:50  20.8   19:00     77   37   0.0    7.5   37.0   00:40   NNW
27   23.0  26.2   15:20  20.1   06:20     68   47   0.0    6.9   27.4   14:20   NNW
28   25.0  30.1   16:10  22.1   06:30     66   30   0.0   10.8   32.2   21:40   NNW
29   23.5  25.8   17:50  20.9   06:10     72   37   0.0    7.0   25.7   02:50   SSE
30   23.4  27.6   14:50  20.4   06:00     74   43   0.0    6.1   35.4   14:30   SSE
31   22.5  24.7   17:10  19.6   05:00     79   50   0.0    6.7   24.1   10:30   SSE
-----------------------------------------------------------------------------------
     23.3  36.1      21  14.8       5   71.7 37.5   4.8   10.4   59.5      24   NNW
