                    MONTHLY CLIMATOLOGICAL SUMMARY for SEP. 2024                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   27.7  31.3   14:20  25.3   06:00     68   47   0.0    6.6   35.4   16:40   NNW
02   27.4  32.1   14:40  24.9   05:40     72   51  12.8    6.9   35.4   16:20   NNW
03   28.6  33.2   16:30  25.2   05:40     67   43   0.0    7.9   30.6   21:40   NNW
04   31.0  35.4   15:20  28.6   01:30     61   35   0.0   12.1   32.2   04:40   NNW
05   31.4  35.4   16:20  28.2   06:40     61   38   0.0    8.0   29.0   02:00   NNW
06   31.8  35.2   17:50  28.6   03:40     58   27   0.0    7.2   30.6   21:10   SSE
07   33.0  37.6   14:50  29.8   22:20     46   19   0.0   17.0   49.9   22:20    NW
08   29.9  33.5   14:40  27.6   06:10     57   36   0.0   19.2   48.3   04:50   NNW
09   29.2  31.3   16:20  27.1   07:00     68   45   0.0    6.9   32.2   00:10   NNW
10   26.9  29.0   12:30  25.3   06:40     83   47   0.0   11.1   38.6   23:50   SSE
11   27.5  30.1   14:50  26.0   23:00     88   63   0.0   16.5   45.1   09:20   SSE
12   27.2  30.9   14:20  24.8   05:10     79   56   0.0    5.0   25.7   13:40   NNW
13   27.2  32.3   15:10  23.1   06:30     75   42   0.0    4.7   32.2   18:00    NW
14   28.4  33.1   14:40  25.0   06:50     75   41   0.0    6.4   38.6   15:10    NW
15   26.5  30.0   14:00  23.8   00:00     71   33   0.0   10.4   38.6   12:10    NW
16   25.8  30.0   14:40  23.2   04:00     62   32   0.0    7.3   33.8   15:00    NW
17   25.9  29.7   14:20  22.9   07:10     64   43   0.0    6.2   25.7   05:20    NW
18   26.3  31.2   14:20  23.8   06:30     71   38   0.0    7.4   29.0   13:20   NNW
19   26.7  30.8   14:50  23.2   00:30     71   32   0.0   13.9   40.2   12:40   NNW
20   26.6  30.9   14:20  24.3   04:00     66   37   0.0   19.6   46.7   07:00   NNW
21   26.4  30.6   13:10  24.4   06:20     66   39   0.0   18.7   48.3   22:40    NW
22   25.4  29.1   15:30  22.6   06:30     66   40   0.0   17.3   46.7   03:10    NW
23   25.6  28.7   12:40  23.4   06:50     66   38   0.0    8.3   37.0   00:10   NNW
24   24.7  28.3   16:20  22.3   05:50     65   42   0.0    4.9   25.7   16:00   SSE
25   25.7  28.8   17:20  23.2   04:10     68   40   0.0    8.2   22.5   21:00   NNW
26   27.3  32.4   16:40  24.2   07:10     58   29   0.0    5.2   24.1   16:00    SE
27   27.5  30.0   16:30  25.1   05:10     69   30   0.0    3.8   16.1   12:10    SE
28   26.9  31.4   15:40  24.4   07:20     66   32   0.0    3.8   24.1   15:50    SE
29   27.6  31.0   16:00  25.3   02:00     69   27   0.0    7.0   33.8   05:50   NNW
30   25.1  28.3   11:20  22.5   00:00     78   31   0.0   15.1   49.9   19:30    NW
-----------------------------------------------------------------------------------
     27.6  37.6       7  22.3      24   67.8 38.4  12.8    9.8   49.9       7   NNW
