                    MONTHLY CLIMATOLOGICAL SUMMARY for JAN. 2025                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   14.1  16.9   12:30  12.2   03:10     76   59   0.0    3.7   17.7   11:30   SSE
02   14.4  16.9   12:30  11.6   07:10     79   57   0.0    4.2   29.0   10:40   SSE
03   15.3  16.7   12:10  13.2   02:50     80   62   0.0    6.6   29.0   23:30   SSE
04   16.0  16.9   05:00  14.9   16:50     91   74  28.6   18.5   53.1   23:10   SSE
05   15.5  18.1   14:20  12.9   00:30     93   67  38.4   10.3   37.0   00:20    NW
06   15.7  18.6   12:20  13.8   23:00     81   58   0.0    7.4   35.4   09:10    NW
07   15.8  17.9   13:00  13.6   01:30     83   68   0.0    6.0   24.1   10:20   SSE
08   16.1  18.3   11:50  14.1   23:20     85   71   0.0    4.6   24.1   05:50   SSE
09   15.2  18.4   13:40  13.3   04:00     88   62   0.0    0.7    9.7   13:30     N
10   15.4  18.2   13:40  13.1   06:50     84   68   0.0    1.7   12.9   12:30   SSE
11   16.1  18.7   13:40  13.5   05:30     88   73   0.0    4.9   29.0   12:40   SSE
12   17.0  19.1   11:10  14.4   07:00     90   76   0.6   11.4   45.1   19:50   SSE
13   17.6  18.3   10:40  15.8   02:10     90   75   8.0   19.0   46.7   01:10   SSE
14   17.3  18.2   11:40  16.1   00:00     86   76   0.2   14.8   37.0   10:10   SSE
15   15.8  18.9   13:50  14.0   00:00     86   66   0.2    3.8   24.1   14:30    NW
16   15.6  18.5   16:00  13.1   06:50     84   61   0.0    5.9   30.6   19:20    NW
17   15.9  18.6   14:10  13.9   21:40     73   54   0.0    9.7   38.6   06:30   NNW
18   16.1  19.1   16:10  13.2   06:00     74   40   0.0    9.4   43.5   21:30    NW
19   16.0  19.0   12:30  13.6   05:20     67   41   0.0    4.1   22.5   00:20   NNW
20   16.6  21.3   11:20  13.6   07:10     81   41   0.0    3.4   25.7   14:10    NW
21   15.9  17.4   10:40  14.1   23:10     86   64   0.0    9.5   37.0   08:30   SSE
22   14.9  18.9   15:00  12.1   19:50     84   48   7.6    3.7   29.0   19:10     N
23   14.3  17.2   14:10  12.0   05:50     84   60   0.0    2.0   17.7   12:40   SSE
24   15.1  17.6   11:50  12.6   06:50     92   70   7.0    2.6   16.1   13:00   SSE
25   15.6  17.5   12:30  12.9   00:00     92   72   3.6    9.2   30.6   13:20   SSE
26   14.5  17.3   14:50  11.6   05:50     88   65   3.4    7.1   27.4   03:30    NW
27   15.9  18.7   11:10  13.6   00:00     82   62   0.0    4.3   22.5   15:50    NW
28   15.4  18.1   12:00  13.3   01:10     82   61   0.0    2.2   19.3   02:10   SSE
29   15.4  18.2   12:20  12.9   06:40     88   71   0.0    4.9   24.1   12:00     S
30   15.4  17.9   11:20  12.5   22:20     85   63   3.2   10.1   33.8   19:40   SSE
31   15.3  18.1   16:10  12.2   06:20     85   57   0.0    6.2   37.0   19:00    NW
-----------------------------------------------------------------------------------
     15.7  21.3      20  11.6       2   84.1 62.6 100.8    6.8   53.1       4   SSE
