                    MONTHLY CLIMATOLOGICAL SUMMARY for MAR. 2025                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   14.8  17.8   14:00  11.6   01:40     85   60   0.0    4.8   22.5   03:00   SSE
02   14.9  17.0   13:00  12.2   05:20     82   68   0.0    2.6   16.1   14:00   NNW
03   15.2  17.8   16:10  13.0   05:30     79   61   0.0    7.4   29.0   21:20    NW
04   14.2  17.4   13:00  12.1   07:00     80   53   0.0    5.8   27.4   03:20   NNW
05   16.8  20.7   14:40  12.2   03:00     78   35   0.0    7.3   32.2   23:40    NW
06   18.4  20.9   11:00  16.2   22:30     73   32   0.0    7.2   25.7   00:20   NNW
07   18.3  22.4   15:30  14.8   23:40     74   33   0.0    3.8   24.1   12:50    SE
08   16.5  21.7   13:40  13.0   05:50     75   40   0.0    2.3   17.7   14:10     N
09   15.2  18.0   12:40  12.2   05:50     78   58   0.0    4.4   22.5   11:20   SSE
10   15.3  18.1   15:20  12.3   05:00     79   60   0.0    4.9   29.0   13:40   SSE
11   15.7  17.8   11:20  13.0   06:50     89   70   0.0    6.1   24.1   15:50   SSE
12   16.3  18.2   11:40  13.9   03:10     90   76   0.0    5.5   24.1   11:50   SSE
13   18.0  20.2   15:20  16.0   00:20     89   62   0.0    8.0   40.2   11:10   SSE
14   19.5  22.9   11:10  15.9   00:50     85   39   0.0    2.1   16.1   15:40   SSE
15   20.6  25.2   13:30  16.7   04:40     58   30   0.0    4.5   27.4   18:40   SSE
16   19.6  23.5   14:20  16.6   01:40     79   35   0.0    4.6   29.0   14:40    SE
17   18.3  21.9   14:20  16.1   23:30     86   67   0.0    3.6   22.5   19:10     N
18   17.2  20.9   12:10  14.8   23:30     76   33   0.0   13.1   43.5   14:40    NW
19   13.3  15.0   12:10   9.9   00:00     69   40   0.0   22.8   66.0   16:10    NW
20   11.1  14.7   15:30   7.4   05:10     53   28   0.0   25.8   62.8   01:00   NNW
21   12.7  16.1   14:00   9.2   06:40     52   32   0.0   17.7   43.5   09:20   NNW
22   14.3  17.2   11:10  10.8   06:30     58   31   0.0    7.0   32.2   10:10    NW
23   14.6  17.4   14:40  10.9   05:50     82   52   0.0    6.4   27.4   13:50   SSE
24   15.8  18.1   13:30  13.4   05:30     87   73   0.0    6.2   27.4   14:10   SSE
25   16.5  19.3   12:40  14.1   04:00     90   45   0.0    4.5   24.1   15:50     S
26   18.8  23.7   10:50  14.7   05:50     83   16   0.0    3.2   22.5   13:40     S
27   18.5  21.0   13:30  15.7   01:50     84   59   0.0    3.7   22.5   19:50   NNW
28   19.5  23.2   12:40  16.1   23:50     80   39   0.0   11.2   48.3   06:30   SSE
29   16.9  19.8   13:00  15.0   05:20     86   65   1.0    8.1   40.2   14:50   SSE
30   15.6  18.8   14:00  13.8   06:00     86   69   1.8    5.2   27.4   16:30   NNW
31   17.3  19.0   23:30  14.2   00:40     88   64   0.2   17.0   78.9   19:40    SE
-----------------------------------------------------------------------------------
     16.4  25.2      15   7.4      20   78.5 49.2   3.0    7.6   78.9      31   SSE
