                    MONTHLY CLIMATOLOGICAL SUMMARY for APR. 2025                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   17.7  19.3   03:20  16.5   22:30     90   65  13.0   31.8   95.0   02:30   SSE
02   15.5  19.2   13:10  13.6   20:20     89   70  27.8    6.9   41.8   14:00   SSE
03   16.6  21.0   16:10  13.2   06:10     87   57   0.0    6.3   29.0   23:30    NW
04   16.6  19.7   18:00  14.2   07:00     82   60   0.6    6.0   29.0   01:10   NNW
05   15.8  18.8   12:20  13.9   01:30     82   59   1.6    5.5   32.2   11:00     S
06   16.0  18.7   14:50  12.9   05:30     83   64   0.0    7.0   30.6   16:50   SSE
07   17.1  19.9   14:10  14.2   04:50     87   67   0.0    9.6   41.8   13:40   SSE
08   15.7  18.5   11:20  12.9   18:00     88   78   6.6    9.7   40.2   15:10   SSE
09   13.7  16.6   15:10  11.7   23:40     79   34   0.0   17.4   54.7   12:50    NW
10   12.8  16.3   15:00   9.3   06:20     61   33   0.0   18.3   53.1   03:30    NW
11   14.0  17.9   13:50  11.9   06:50     77   41   0.4   12.7   51.5   15:40    NW
12   14.1  18.6   14:30  10.8   04:00     85   43   8.0    9.6   49.9   18:30   NNW
13   15.4  19.9   17:20  11.3   05:50     81   37   0.2   13.5   37.0   09:40    NW
14   17.1  21.2   17:00  13.2   05:10     63   32   0.0   13.8   40.2   08:30   NNW
15   19.3  23.6   15:20  14.8   06:30     67   19   0.0   11.9   33.8   15:50    NW
16   20.6  24.3   18:00  17.3   03:40     78   26   0.0    3.9   25.7   15:50    SE
17   19.3  22.4   12:40  16.3   06:20     86   46   0.0    3.8   20.9   16:10    SE
18   19.3  22.3   14:10  16.4   04:10     84   57   0.0    3.9   24.1   17:20    NW
19   19.3  23.3   13:30  16.0   07:00     81   46   0.0    3.7   25.7   15:10   SSW
20   19.7  25.4   16:00  16.2   04:20     77   47   0.0    3.9   22.5   15:30    SE
21   19.0  20.8   12:10  17.4   05:20     88   57   0.0    4.9   19.3   10:50   SSE
22   18.4  20.3   22:20  16.4   05:50     90   55   0.0    4.0   22.5   20:30     N
23   22.1  27.9   15:00  17.8   06:40     76   42   0.0    5.3   25.7   11:30   NNW
24   20.3  24.2   15:00  18.1   23:00     68   44   0.0    5.8   32.2   13:10     S
25   17.9  22.1   11:40  13.2   17:10     82   61  82.2    7.6   40.2   17:10     S
26   18.6  22.4   15:20  15.2   05:30     84   53   0.4    6.6   33.8   14:50     S
27   18.4  21.2   15:30  15.7   06:50     86   65   0.0    5.1   29.0   15:10     S
28   18.9  21.9   15:50  16.3   06:20     82   64   0.0    5.1   24.1   16:50    SE
29   20.2  23.8   15:00  17.2   06:10     78   51   0.0    6.2   24.1   14:20     N
30   16.6  18.9   10:10  14.2   19:40     92   75  16.2    7.7   51.5   10:50   NNW
-----------------------------------------------------------------------------------
     17.5  27.9      23   9.3      10   81.1 51.6 157.0    8.6   95.0       1    NW
