                    MONTHLY CLIMATOLOGICAL SUMMARY for JUN. 2025                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   21.9  26.2   17:40  17.7   06:10     86   53   0.0    5.2   24.1   13:30   NNW
02   24.5  29.6   16:10  20.3   05:40     76   35   0.0    7.8   33.8   17:50    NW
03   27.4  31.7   16:30  23.3   06:20     49   29   0.0   12.5   32.2   20:40    NW
04   28.4  34.2   16:30  23.0   04:40     54   23   0.0    5.6   25.7   18:00    NW
05   26.3  31.7   16:40  23.1   05:50     82   33   0.0    5.4   24.1   15:50    SE
06   27.1  32.5   16:20  23.2   03:10     81   43   0.0    3.0   14.5   13:20     N
07   28.4  32.7   14:00  24.3   03:00     74   42   0.0    3.9   17.7   12:30   NNW
08   29.7  34.2   16:10  27.1   02:40     61   35   0.0    5.6   25.7   20:40    SE
09   29.8  35.4   17:00  26.3   05:50     75   37   0.0    5.0   24.1   13:20    SE
10   28.9  32.4   13:00  25.0   04:40     77   32   0.0    3.7   17.7   13:20    SE
11   29.8  34.7   16:40  25.4   02:00     81   33   0.0    4.6   22.5   14:30    SE
12   30.9  34.9   17:00  26.8   01:00     70   30   0.0    6.2   24.1   05:10   NNW
13   31.4  36.1   10:50  26.6   02:00     67   28   0.0    7.3   32.2   06:20    NW
14   30.8  34.2   17:00  27.8   00:20     52   30   0.0   11.2   46.7   05:00    NW
15   29.6  32.6   15:00  26.6   05:10     41   28   0.0   20.9   49.9   23:40    NW
16   28.7  31.7   11:10  26.5   06:00     49   26   0.0   12.7   38.6   00:30   NNW
17   28.6  31.8   19:20  26.2   03:40     52   29   0.0    7.0   25.7   18:00   NNW
18   27.9  31.6   11:40  24.4   05:40     70   27   0.0    5.3   24.1   15:20   NNW
19   30.1  35.9   17:50  24.1   03:10     65   24   0.0    4.7   25.7   14:50    SE
20   32.3  37.1   12:40  27.7   05:40     45   23   0.0    8.6   30.6   11:20    NW
21   32.0  36.4   12:50  28.7   00:00     48   26   0.0   20.9   54.7   19:40    NW
22   29.8  33.1   13:30  27.2   05:00     48   28   0.0   18.0   43.5   09:50    NW
23   30.7  35.1   17:50  27.4   05:50     44   22   0.0   10.7   30.6   00:10   NNW
24   30.3  35.6   17:40  26.1   05:40     49   23   0.0    5.5   25.7   15:20    NW
25   31.6  34.9   13:30  28.3   03:40     55   23   0.0    5.8   29.0   05:00    SE
26   31.9  37.4   16:20  26.8   04:10     77   19   0.0    4.3   24.1   16:40    SE
27   32.9  38.4   11:30  27.0   03:10     73   23   0.0    5.9   27.4   17:00   NNW
28   33.4  39.4   17:00  27.8   03:10     70   21   0.0    7.8   41.8   22:10    SE
29   33.4  36.7   18:20  30.7   06:30     36   22   0.0   15.0   35.4   22:50   NNW
30   29.5  31.7   18:20  26.9   23:40     73   32   0.0   11.3   38.6   03:20   NNW
-----------------------------------------------------------------------------------
     29.6  39.4      28  17.7       1   62.7 29.3   0.0    8.4   54.7      21    NW
