                    MONTHLY CLIMATOLOGICAL SUMMARY for DEC. 2025                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   17.1  19.8   11:20  14.7   02:40     15    1   0.0    2.3   16.1   11:50   NNW
02   17.3  21.0   15:50  15.1   05:30     64    1   0.4    4.3   17.7   13:10    NW
03   17.8  19.8   11:10  14.9   03:20     68   56   0.0    4.5   25.7   18:30   SSE
04   18.1  20.1   20:50  15.6   10:20     91   60  70.6   13.9   69.2   19:40    NW
05   19.0  20.3   01:40  16.1   08:30     86   59  21.0   21.4   99.8   07:50   SSE
06   16.1  18.9   04:20  13.7   00:00     87   65  31.2   12.0   43.5   04:40   SSE
07   15.7  18.8   14:20  13.1   01:50     84   56   0.0    3.1   22.5   01:30   NNW
08   16.0  18.9   12:20  13.8   05:50     75   61   0.0    3.0   16.1   13:00   NNW
09   17.7  19.0   13:50  14.6   08:10     70   49   0.0   14.0   32.2   16:10   NNW
10   17.3  19.3   13:40  15.2   20:20     65   53   0.0    7.2   30.6   18:10   NNW
11   17.1  20.3   13:20  14.7   07:10     64   41   0.0   13.1   30.6   08:50    NW
12   16.7  19.7   13:20  14.7   03:50     65   46   0.0    3.8   19.3   00:40    NW
13   16.8  19.6   12:30  14.7   02:40     73   50   0.0    2.5   16.1   13:30   WNW
14   16.3  19.6   14:20  14.2   23:40     79   52   0.0    6.1   30.6   19:00    NW
15   15.0  17.4   13:40  12.8   04:40     65   44   0.0   16.5   43.5   08:10   NNW
16   15.8  20.1   14:00  12.4   06:00     59   34   0.0   12.7   40.2   18:20   NNW
17   17.0  19.3   12:10  15.4   02:20     62   44   0.0    6.0   30.6   02:10   SSE
18   16.5  20.0   14:50  14.0   22:10     72   53   0.0    2.8   17.7   17:00   WNW
19   15.3  19.3   13:30  12.4   07:40     78   54   0.0    2.6   19.3   11:30     N
20   16.0  18.3   12:40  12.9   04:20     79   63   0.0    4.4   27.4   23:10   SSE
21   17.0  18.1   06:20  14.3   08:10     81   64  17.4   15.8   56.3   07:50    SE
22   16.2  18.4   13:40  13.9   19:30     89   71  43.6    9.9   45.1   07:20   NNW
23   15.5  18.2   12:40  13.7   07:40     87   72   7.4    3.2   27.4   13:10   NNW
24   16.5  18.8   12:40  13.4   04:50     86   65   0.0    5.7   22.5   14:00   SSE
25   16.2  17.8   03:40  14.1   23:50     87   63   7.8    6.0   33.8   04:20   SSE
26   16.4  19.8   12:20  13.6   00:30     78   55   0.2    9.0   46.7   23:10    NW
27   13.1  15.4   11:20   9.0   00:00     69   40   0.0   21.8   54.7   00:40    NW
28   11.8  14.6   00:00   8.1   04:20     76   40   0.2   11.6   49.9   10:20    NW
29   11.7  14.5   00:10   9.6   00:00     65   37   0.0   16.3   56.3   11:50    NW
30   12.7  16.6   21:40   8.9   02:00     85   55   5.8    5.4   41.8   16:30     N
31   14.3  16.2   02:50  11.3   23:00     80   59   0.4    8.5   35.4   10:00    NW
-----------------------------------------------------------------------------------
     16.0  21.0       2   8.1      28   73.7 50.4 206.0    8.7   99.8       5    NW
