Ημερομηνία,Θέση στη Γραμμή,undefined,undefined
"Apr 5, 2016, 3:00:00 AM",0,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 0 (Water)
Chl-a (Gadouras Poly2): -25.224"
"Apr 5, 2016, 3:00:00 AM",1,point { size:7; fill-color:#9DCEC3; },"Ημ/νία: 2016-04-05
Σημείο: 1 (Water)
Chl-a (Gadouras Poly2): 12.973"
"Apr 5, 2016, 3:00:00 AM",2,point { size:7; fill-color:#64A8D3; },"Ημ/νία: 2016-04-05
Σημείο: 2 (Water)
Chl-a (Gadouras Poly2): 9.714"
"Apr 5, 2016, 3:00:00 AM",3,point { size:7; fill-color:#97CAC6; },"Ημ/νία: 2016-04-05
Σημείο: 3 (Water)
Chl-a (Gadouras Poly2): 12.439"
"Apr 5, 2016, 3:00:00 AM",4,point { size:7; fill-color:#70B1D4; },"Ημ/νία: 2016-04-05
Σημείο: 4 (Water)
Chl-a (Gadouras Poly2): 10.349"
"Apr 5, 2016, 3:00:00 AM",5,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 5 (Water)
Chl-a (Gadouras Poly2): -1.296"
"Apr 5, 2016, 3:00:00 AM",6,point { size:7; fill-color:#458FC5; },"Ημ/νία: 2016-04-05
Σημείο: 6 (Water)
Chl-a (Gadouras Poly2): 7.609"
"Apr 5, 2016, 3:00:00 AM",7,point { size:7; fill-color:#83BDCD; },"Ημ/νία: 2016-04-05
Σημείο: 7 (Water)
Chl-a (Gadouras Poly2): 11.394"
"Apr 5, 2016, 3:00:00 AM",8,point { size:7; fill-color:#E8E49B; },"Ημ/νία: 2016-04-05
Σημείο: 8 (Water)
Chl-a (Gadouras Poly2): 18.323"
"Apr 5, 2016, 3:00:00 AM",9,point { size:7; fill-color:#AAD7BF; },"Ημ/νία: 2016-04-05
Σημείο: 9 (Water)
Chl-a (Gadouras Poly2): 13.559"
"Apr 5, 2016, 3:00:00 AM",10,point { size:7; fill-color:#3582BE; },"Ημ/νία: 2016-04-05
Σημείο: 10 (Water)
Chl-a (Gadouras Poly2): 6.674"
"Apr 5, 2016, 3:00:00 AM",11,point { size:7; fill-color:#83BDCD; },"Ημ/νία: 2016-04-05
Σημείο: 11 (Water)
Chl-a (Gadouras Poly2): 11.661"
"Apr 5, 2016, 3:00:00 AM",12,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 12 (Water)
Chl-a (Gadouras Poly2): -0.512"
"Apr 5, 2016, 3:00:00 AM",13,point { size:7; fill-color:#3582BE; },"Ημ/νία: 2016-04-05
Σημείο: 13 (Water)
Chl-a (Gadouras Poly2): 6.599"
"Apr 5, 2016, 3:00:00 AM",14,point { size:7; fill-color:#C9E9B2; },"Ημ/νία: 2016-04-05
Σημείο: 14 (Water)
Chl-a (Gadouras Poly2): 15.352"
"Apr 5, 2016, 3:00:00 AM",15,point { size:7; fill-color:#6b7280; },"Ημ/νία: 2016-04-05
Σημείο: 15 (Land)"
"Apr 5, 2016, 3:00:00 AM",16,point { size:7; fill-color:#3582BE; },"Ημ/νία: 2016-04-05
Σημείο: 16 (Water)
Chl-a (Gadouras Poly2): 6.382"
"Apr 5, 2016, 3:00:00 AM",17,point { size:7; fill-color:#0F4280; },"Ημ/νία: 2016-04-05
Σημείο: 17 (Water)
Chl-a (Gadouras Poly2): 1.600"
"Apr 5, 2016, 3:00:00 AM",18,point { size:7; fill-color:#114785; },"Ημ/νία: 2016-04-05
Σημείο: 18 (Water)
Chl-a (Gadouras Poly2): 2.062"
"Apr 5, 2016, 3:00:00 AM",19,point { size:7; fill-color:#0F4280; },"Ημ/νία: 2016-04-05
Σημείο: 19 (Water)
Chl-a (Gadouras Poly2): 1.520"
"Apr 5, 2016, 3:00:00 AM",20,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 20 (Water)
Chl-a (Gadouras Poly2): -10.794"
"Apr 5, 2016, 3:00:00 AM",21,point { size:7; fill-color:#6b7280; },"Ημ/νία: 2016-04-05
Σημείο: 21 (Land)"
"Apr 5, 2016, 3:00:00 AM",22,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 22 (Water)
Chl-a (Gadouras Poly2): -29.297"
"Apr 5, 2016, 3:00:00 AM",23,point { size:7; fill-color:#8AC2CB; },"Ημ/νία: 2016-04-05
Σημείο: 23 (Water)
Chl-a (Gadouras Poly2): 11.689"
"Apr 5, 2016, 3:00:00 AM",24,point { size:7; fill-color:#6b7280; },"Ημ/νία: 2016-04-05
Σημείο: 24 (Land)"
"Apr 5, 2016, 3:00:00 AM",25,point { size:7; fill-color:#4F97CA; },"Ημ/νία: 2016-04-05
Σημείο: 25 (Water)
Chl-a (Gadouras Poly2): 8.205"
"Apr 5, 2016, 3:00:00 AM",26,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 26 (Water)
Chl-a (Gadouras Poly2): -1.424"
"Apr 5, 2016, 3:00:00 AM",27,point { size:7; fill-color:#2170B4; },"Ημ/νία: 2016-04-05
Σημείο: 27 (Water)
Chl-a (Gadouras Poly2): 5.091"
"Apr 5, 2016, 3:00:00 AM",28,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 28 (Water)
Chl-a (Gadouras Poly2): -1.196"
"Apr 5, 2016, 3:00:00 AM",29,point { size:7; fill-color:#1B63A5; },"Ημ/νία: 2016-04-05
Σημείο: 29 (Water)
Chl-a (Gadouras Poly2): 3.987"
"Apr 5, 2016, 3:00:00 AM",30,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 30 (Water)
Chl-a (Gadouras Poly2): -1.541"
"Apr 5, 2016, 3:00:00 AM",31,point { size:7; fill-color:#559CCC; },"Ημ/νία: 2016-04-05
Σημείο: 31 (Water)
Chl-a (Gadouras Poly2): 8.575"
"Apr 5, 2016, 3:00:00 AM",32,point { size:7; fill-color:#0F4280; },"Ημ/νία: 2016-04-05
Σημείο: 32 (Water)
Chl-a (Gadouras Poly2): 1.625"
"Apr 5, 2016, 3:00:00 AM",33,point { size:7; fill-color:#7DB9CF; },"Ημ/νία: 2016-04-05
Σημείο: 33 (Water)
Chl-a (Gadouras Poly2): 11.205"
"Apr 5, 2016, 3:00:00 AM",34,point { size:7; fill-color:#0D3E7B; },"Ημ/νία: 2016-04-05
Σημείο: 34 (Water)
Chl-a (Gadouras Poly2): 1.319"
"Apr 5, 2016, 3:00:00 AM",35,point { size:7; fill-color:#307DBC; },"Ημ/νία: 2016-04-05
Σημείο: 35 (Water)
Chl-a (Gadouras Poly2): 6.042"
"Apr 5, 2016, 3:00:00 AM",36,point { size:7; fill-color:#4A93C7; },"Ημ/νία: 2016-04-05
Σημείο: 36 (Water)
Chl-a (Gadouras Poly2): 7.842"
"Apr 5, 2016, 3:00:00 AM",37,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 37 (Water)
Chl-a (Gadouras Poly2): -5.402"
"Apr 5, 2016, 3:00:00 AM",38,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 38 (Water)
Chl-a (Gadouras Poly2): -6.423"
"Apr 5, 2016, 3:00:00 AM",39,point { size:7; fill-color:#6b7280; },"Ημ/νία: 2016-04-05
Σημείο: 39 (Land)"
