Ημερομηνία,Θέση στη Γραμμή,undefined,undefined
"Mar 26, 2017, 2:00:00 AM",0,point { size: 7; fill-color: #0085E4; },"Ημ/νία: 2017-03-26
Σημείο: 0 (Water)
AreaBGR: 63147.964"
"Mar 26, 2017, 2:00:00 AM",1,point { size: 7; fill-color: #0079D9; },"Ημ/νία: 2017-03-26
Σημείο: 1 (Water)
AreaBGR: 60772.964"
"Mar 26, 2017, 2:00:00 AM",2,point { size: 7; fill-color: #0094F2; },"Ημ/νία: 2017-03-26
Σημείο: 2 (Water)
AreaBGR: 66085.464"
"Mar 26, 2017, 2:00:00 AM",3,point { size: 7; fill-color: #0085E4; },"Ημ/νία: 2017-03-26
Σημείο: 3 (Water)
AreaBGR: 63272.964"
"Mar 26, 2017, 2:00:00 AM",4,point { size: 7; fill-color: #0090EF; },"Ημ/νία: 2017-03-26
Σημείο: 4 (Water)
AreaBGR: 64897.964"
"Mar 26, 2017, 2:00:00 AM",5,point { size: 7; fill-color: #0079D9; },"Ημ/νία: 2017-03-26
Σημείο: 5 (Water)
AreaBGR: 60710.464"
"Mar 26, 2017, 2:00:00 AM",6,point { size: 7; fill-color: #0072D2; },"Ημ/νία: 2017-03-26
Σημείο: 6 (Water)
AreaBGR: 59335.464"
"Mar 26, 2017, 2:00:00 AM",7,point { size: 7; fill-color: #0085E4; },"Ημ/νία: 2017-03-26
Σημείο: 7 (Water)
AreaBGR: 62835.464"
"Mar 26, 2017, 2:00:00 AM",8,point { size: 7; fill-color: #006ECE; },"Ημ/νία: 2017-03-26
Σημείο: 8 (Water)
AreaBGR: 59085.464"
"Mar 26, 2017, 2:00:00 AM",9,point { size: 7; fill-color: #0085E4; },"Ημ/νία: 2017-03-26
Σημείο: 9 (Water)
AreaBGR: 63272.964"
"Mar 26, 2017, 2:00:00 AM",10,point { size: 7; fill-color: #0072D2; },"Ημ/νία: 2017-03-26
Σημείο: 10 (Water)
AreaBGR: 59897.964"
"Mar 26, 2017, 2:00:00 AM",11,point { size: 7; fill-color: #007DDD; },"Ημ/νία: 2017-03-26
Σημείο: 11 (Water)
AreaBGR: 61772.964"
"Mar 26, 2017, 2:00:00 AM",12,point { size: 7; fill-color: #0072D2; },"Ημ/νία: 2017-03-26
Σημείο: 12 (Water)
AreaBGR: 59335.464"
