Date,Field turbidity (1m NTU),Satellite raw value
"Apr 5, 2016, 3:00:00 AM",,1.625
"Jun 24, 2016, 3:00:00 AM",,1.772
"Jul 14, 2016, 3:00:00 AM",,1.641
"Jul 24, 2016, 3:00:00 AM",,1.723
"Aug 3, 2016, 3:00:00 AM",,1.721
"Mar 31, 2017, 3:00:00 AM",,1.859
"Apr 15, 2017, 3:00:00 AM",,1.518
"May 10, 2017, 3:00:00 AM",,1.617
"May 20, 2017, 3:00:00 AM",,1.801
"Jun 9, 2017, 3:00:00 AM",,1.702
"Jun 14, 2017, 3:00:00 AM",,1.661
"Jun 19, 2017, 3:00:00 AM",,1.686
"Jun 24, 2017, 3:00:00 AM",,1.52
"Jun 29, 2017, 3:00:00 AM",,1.515
"Jul 19, 2017, 3:00:00 AM",,1.704
"Jul 24, 2017, 3:00:00 AM",,1.72
"Jul 29, 2017, 3:00:00 AM",,1.647
"Aug 18, 2017, 3:00:00 AM",,1.757
"Aug 28, 2017, 3:00:00 AM",,1.5
"Sep 12, 2017, 3:00:00 AM",,1.638
"Nov 6, 2017, 2:00:00 AM",,1.579
"Nov 16, 2017, 2:00:00 AM",,1.731
"Nov 26, 2017, 2:00:00 AM",,1.743
"Dec 6, 2017, 2:00:00 AM",,1.6
"Dec 21, 2017, 2:00:00 AM",,1.623
"Dec 31, 2017, 2:00:00 AM",,1.532
"Jan 5, 2018, 2:00:00 AM",,1.778
"Jan 15, 2018, 2:00:00 AM",,1.534
"Jan 25, 2018, 2:00:00 AM",,1.586
"Feb 9, 2018, 2:00:00 AM",,1.89
"Feb 14, 2018, 2:00:00 AM",,1.541
"Mar 1, 2018, 2:00:00 AM",,1.878
"Apr 5, 2018, 3:00:00 AM",,1.521
"Apr 10, 2018, 3:00:00 AM",,1.664
"Apr 20, 2018, 3:00:00 AM",,1.859
"Apr 25, 2018, 3:00:00 AM",,1.666
"Apr 30, 2018, 3:00:00 AM",,1.675
"May 5, 2018, 3:00:00 AM",,1.881
"May 10, 2018, 3:00:00 AM",,1.597
"May 15, 2018, 3:00:00 AM",,1.574
"May 25, 2018, 3:00:00 AM",,1.749
"May 30, 2018, 3:00:00 AM",,1.793
"Jun 9, 2018, 3:00:00 AM",,1.838
"Jun 14, 2018, 3:00:00 AM",,1.831
"Jun 24, 2018, 3:00:00 AM",,1.768
"Jun 29, 2018, 3:00:00 AM",,1.786
"Jul 4, 2018, 3:00:00 AM",,1.661
"Jul 9, 2018, 3:00:00 AM",,1.786
"Jul 14, 2018, 3:00:00 AM",,1.721
"Jul 19, 2018, 3:00:00 AM",,1.72
"Jul 24, 2018, 3:00:00 AM",,1.836
"Jul 24, 2018, 3:00:00 AM",,1.853
"Jul 29, 2018, 3:00:00 AM",,1.576
"Aug 3, 2018, 3:00:00 AM",,1.628
"Aug 8, 2018, 3:00:00 AM",,1.703
"Aug 13, 2018, 3:00:00 AM",,1.537
"Aug 18, 2018, 3:00:00 AM",,1.556
