Ημερομηνία,Θέση στη Γραμμή,undefined,undefined
"Dec 7, 2015, 2:00:00 AM",0,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 0 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",1,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 1 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",2,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 2 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",3,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 3 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",4,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 4 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",5,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 5 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",6,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 6 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",7,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 7 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",8,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 8 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",9,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 9 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",10,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 10 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",11,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 11 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",12,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 12 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",13,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 13 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",14,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 14 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",15,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 15 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",16,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 16 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",17,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 17 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",18,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 18 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",19,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 19 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",20,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 20 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",21,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 21 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",22,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 22 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",23,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 23 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",24,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 24 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",25,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 25 (Water)
NDTI: -1.000"
"Dec 7, 2015, 2:00:00 AM",26,point { size:7; fill-color:#0000FF; },"Ημ/νία: 2015-12-07
Σημείο: 26 (Water)
NDTI: -1.000"
